"","Fecha","Mean","Estacion","ICA","Color"
"31075",1170046800,41.5416666666667,"Kennedy",5,"#00de28"
"31076",1170133200,42.695652173913,"Kennedy",5,"#00de28"
"31077",1170219600,43.625,"Kennedy",5,"#00de28"
"31078",1170306000,48.125,"Kennedy",5,"#00de28"
"31079",1170392400,53.0416666666667,"Kennedy",5,"#00de28"
"31080",1170478800,56.4583333333333,"Kennedy",4,"#fffd40"
"31081",1170565200,54.625,"Kennedy",5,"#fffd40"
"31082",1170651600,63.1666666666667,"Kennedy",4,"#fffd40"
"31083",1170738000,70.3333333333333,"Kennedy",4,"#fffd40"
"31084",1170824400,53.25,"Kennedy",5,"#00de28"
"31085",1170910800,121.916666666667,"Kennedy",4,"#fffd40"
"31086",1170997200,70.6086956521739,"Kennedy",4,"#fffd40"
"31087",1171083600,61.1666666666667,"Kennedy",4,"#fffd40"
"31088",1171170000,50.5,"Kennedy",5,"#00de28"
"31089",1171256400,54.5833333333333,"Kennedy",5,"#fffd40"
"31090",1171342800,57.7916666666667,"Kennedy",4,"#fffd40"
"31091",1171429200,62.0416666666667,"Kennedy",4,"#fffd40"
"31092",1171515600,48.375,"Kennedy",5,"#00de28"
"31093",1171602000,41.75,"Kennedy",5,"#00de28"
"31094",1171688400,35.8333333333333,"Kennedy",6,"#00de28"
"31095",1171774800,47.8333333333333,"Kennedy",5,"#00de28"
"31096",1171861200,36.625,"Kennedy",5,"#00de28"
"31097",1171947600,37.1363636363636,"Kennedy",5,"#00de28"
"31098",1172034000,59.9583333333333,"Kennedy",4,"#fffd40"
"31099",1172120400,69.5217391304348,"Kennedy",4,"#fffd40"
"31100",1172206800,57.75,"Kennedy",4,"#fffd40"
"31101",1172293200,88.5555555555556,"Kennedy",4,"#fffd40"
"31102",1172379600,NA,"Kennedy",0,"#c8c8c8"
"31103",1172466000,NA,"Kennedy",0,"#c8c8c8"
"31104",1172552400,NA,"Kennedy",0,"#c8c8c8"
"31105",1172638800,NA,"Kennedy",0,"#c8c8c8"
"31106",1172725200,NA,"Kennedy",0,"#c8c8c8"
"31107",1172811600,NA,"Kennedy",0,"#c8c8c8"
"31108",1172898000,40.8333333333333,"Kennedy",5,"#00de28"
"31109",1172984400,51.2,"Kennedy",5,"#00de28"
"31110",1173070800,NA,"Kennedy",0,"#c8c8c8"
"31111",1173157200,40.1666666666667,"Kennedy",5,"#00de28"
"31112",1173243600,40.875,"Kennedy",5,"#00de28"
"31113",1173330000,49.4166666666667,"Kennedy",5,"#00de28"
"31114",1173416400,41.9583333333333,"Kennedy",5,"#00de28"
"31115",1173502800,32.4583333333333,"Kennedy",6,"#00de28"
"31116",1173589200,35.3333333333333,"Kennedy",6,"#00de28"
"31117",1173675600,58.875,"Kennedy",4,"#fffd40"
"31118",1173762000,56.2916666666667,"Kennedy",4,"#fffd40"
"31119",1173848400,58.5,"Kennedy",4,"#fffd40"
"31120",1173934800,65.625,"Kennedy",4,"#fffd40"
"31121",1174021200,58.8,"Kennedy",4,"#fffd40"
"31122",1174107600,NA,"Kennedy",0,"#c8c8c8"
"31123",1174194000,42.1666666666667,"Kennedy",5,"#00de28"
"31124",1174280400,47.1666666666667,"Kennedy",5,"#00de28"
"31125",1174366800,49.4583333333333,"Kennedy",5,"#00de28"
"31126",1174453200,62.4,"Kennedy",4,"#fffd40"
"31127",1174539600,NA,"Kennedy",0,"#c8c8c8"
"31128",1174626000,35.1428571428571,"Kennedy",6,"#00de28"
"31129",1174712400,51,"Kennedy",5,"#00de28"
"31130",1174798800,30.25,"Kennedy",6,"#00de28"
"31131",1174885200,25.7,"Kennedy",6,"#00de28"
"31132",1174971600,32,"Kennedy",6,"#00de28"
"31133",1175058000,32.9130434782609,"Kennedy",6,"#00de28"
"31134",1175144400,29.1666666666667,"Kennedy",6,"#00de28"
"31135",1175230800,41.25,"Kennedy",5,"#00de28"
"31136",1175317200,43.7916666666667,"Kennedy",5,"#00de28"
"31137",1175403600,25.0833333333333,"Kennedy",6,"#00de28"
"31138",1175490000,26.5833333333333,"Kennedy",6,"#00de28"
"31139",1175576400,28.25,"Kennedy",6,"#00de28"
"31140",1175662800,30.8333333333333,"Kennedy",6,"#00de28"
"31141",1175749200,21,"Kennedy",6,"#00de28"
"31142",1175835600,NA,"Kennedy",0,"#c8c8c8"
"31143",1175922000,NA,"Kennedy",0,"#c8c8c8"
"31144",1176008400,NA,"Kennedy",0,"#c8c8c8"
"31145",1176094800,NA,"Kennedy",0,"#c8c8c8"
"31146",1176181200,NA,"Kennedy",0,"#c8c8c8"
"31147",1176267600,32.6363636363636,"Kennedy",6,"#00de28"
"31148",1176354000,38.5555555555556,"Kennedy",5,"#00de28"
"31149",1176440400,41.25,"Kennedy",5,"#00de28"
"31150",1176526800,53.8333333333333,"Kennedy",5,"#00de28"
"31151",1176613200,39.7916666666667,"Kennedy",5,"#00de28"
"31152",1176699600,34.5652173913044,"Kennedy",6,"#00de28"
"31153",1176786000,35.375,"Kennedy",6,"#00de28"
"31154",1176872400,35.6086956521739,"Kennedy",6,"#00de28"
"31155",1176958800,NA,"Kennedy",0,"#c8c8c8"
"31156",1177045200,NA,"Kennedy",0,"#c8c8c8"
"31157",1177131600,NA,"Kennedy",0,"#c8c8c8"
"31158",1177218000,NA,"Kennedy",0,"#c8c8c8"
"31159",1177304400,NA,"Kennedy",0,"#c8c8c8"
"31160",1177390800,NA,"Kennedy",0,"#c8c8c8"
"31161",1177477200,NA,"Kennedy",0,"#c8c8c8"
"31162",1177563600,NA,"Kennedy",0,"#c8c8c8"
"31163",1177650000,37.5,"Kennedy",5,"#00de28"
"31164",1177736400,40.625,"Kennedy",5,"#00de28"
"31165",1177822800,23.375,"Kennedy",6,"#00de28"
"31166",1177909200,27.8333333333333,"Kennedy",6,"#00de28"
"31167",1177995600,25.1666666666667,"Kennedy",6,"#00de28"
"31168",1178082000,35.5,"Kennedy",6,"#00de28"
"31169",1178168400,NA,"Kennedy",0,"#c8c8c8"
"31170",1178254800,30.75,"Kennedy",6,"#00de28"
"31171",1178341200,34.3333333333333,"Kennedy",6,"#00de28"
"31172",1178427600,35.0416666666667,"Kennedy",6,"#00de28"
"31173",1178514000,33.7272727272727,"Kennedy",6,"#00de28"
"31174",1178600400,NA,"Kennedy",0,"#c8c8c8"
"31175",1178686800,NA,"Kennedy",0,"#c8c8c8"
"31176",1178773200,31.1666666666667,"Kennedy",6,"#00de28"
"31177",1178859600,29.8636363636364,"Kennedy",6,"#00de28"
"31178",1178946000,31.4166666666667,"Kennedy",6,"#00de28"
"31179",1179032400,19.5416666666667,"Kennedy",6,"#00de28"
"31180",1179118800,38.5,"Kennedy",5,"#00de28"
"31181",1179205200,31,"Kennedy",6,"#00de28"
"31182",1179291600,31.7083333333333,"Kennedy",6,"#00de28"
"31183",1179378000,28.4583333333333,"Kennedy",6,"#00de28"
"31184",1179464400,34.8260869565217,"Kennedy",6,"#00de28"
"31185",1179550800,30.875,"Kennedy",6,"#00de28"
"31186",1179637200,32.5833333333333,"Kennedy",6,"#00de28"
"31187",1179723600,25.375,"Kennedy",6,"#00de28"
"31188",1179810000,20.6666666666667,"Kennedy",6,"#00de28"
"31189",1179896400,NA,"Kennedy",0,"#c8c8c8"
"31190",1179982800,34.1111111111111,"Kennedy",6,"#00de28"
"31191",1180069200,36.4347826086956,"Kennedy",5,"#00de28"
"31192",1180155600,44.0416666666667,"Kennedy",5,"#00de28"
"31193",1180242000,56.2083333333333,"Kennedy",4,"#fffd40"
"31194",1180328400,29.375,"Kennedy",6,"#00de28"
"31195",1180414800,40.0416666666667,"Kennedy",5,"#00de28"
"31196",1180501200,38.3333333333333,"Kennedy",5,"#00de28"
"31197",1180587600,49.1666666666667,"Kennedy",5,"#00de28"
"31198",1180674000,30.5416666666667,"Kennedy",6,"#00de28"
"31199",1180760400,33.5833333333333,"Kennedy",6,"#00de28"
"31200",1180846800,27.1666666666667,"Kennedy",6,"#00de28"
