Fecha & Hora;PM10;NO2  (ug/m3);Vel Viento  (m/s);Dir Viento (Grados);Temperatura (C°);Humedad (%);Radiacion Solar (Watt/M2);Lluvia (mm);;
1/01/2013 11:00;19,3;35,49;0,7;96,3;27,6;53,7;0,9;0;;
1/01/2013 12:00;36,9;34,27;1;68;26,6;58,5;0;0;;
1/01/2013 13:00;23,4;29,67;0,3;179,5;25,6;63,4;0;0;;
1/01/2013 14:00;36,4;31,14;0,7;189,4;25,1;64,3;0;0;;
1/01/2013 15:00;18,8;26,93;0,4;308;23,9;69,7;0;0;;
1/01/2013 16:00;34,4;25,13;0,4;213,2;23,7;70,4;0;0;;
1/01/2013 17:00;24,1;23,67;0,1;76,5;23,7;72;0;0;;
1/01/2013 18:00;14,1;20,05;0,7;35,1;22,6;76,8;0;0;;
1/01/2013 19:00;9;17,39;0,5;165,2;22,3;78;0;0;;
1/01/2013 20:00;5,3;18,51;0,3;305;22,5;77,5;0;0;;
1/01/2013 21:00;5;18,70;0,2;206,2;22,6;77,2;0;0;;
1/01/2013 22:00;11,2;17,17;0,2;258,3;22,3;79;0;0;;
1/01/2013 23:00;6,2;18,98;0,1;288,4;22,5;78,3;16,8;0;;
2/01/2013 0:00;30,2;31,57;0,5;87,7;23,4;75,2;79,2;0;;
2/01/2013 1:00;44,9;48,60;0,5;55,2;24,1;73,5;189,6;0;;
2/01/2013 2:00;58,3;58,62;0,6;57,4;25,6;66,5;374,7;0;;
2/01/2013 3:00;43,6;45,15;0,6;129,5;26,8;61,1;385,7;0;;
2/01/2013 4:00;31,8;31,38;0,8;86,9;28,1;56,4;610,3;0;;
2/01/2013 5:00;23,4;23,06;1;155,2;30;49,3;792,5;0;;
1/01/2013 2:00;33,2;20,32;0,7;71,9;31,1;46;669,3;0;;
1/01/2013 3:00;31,3;16,06;0,8;302,6;32,1;43,3;601,9;0;;
1/01/2013 4:00;16,5;10,38;1,2;267,3;32,4;42,1;428,4;0;;
1/01/2013 5:00;9,3;12,44;2,4;269,2;31,2;45,2;239,4;0;;
1/01/2013 6:00;7,2;20,24;2,4;252,8;29,7;48,3;41,5;0;;
1/01/2013 7:00;4,3;24,35;1,1;245,9;28,5;51,5;1,2;0;;
1/01/2013 8:00;21,7;40,30;0,8;250,1;27,8;54,2;0;0;;
1/01/2013 9:00;22,7;36,99;0,4;122,9;27;58,3;0;0;;
1/01/2013 10:00;30,2;40,07;0,3;248,2;25,8;63,3;0;0;;
1/01/2013 11:00;17,2;42,58;0,1;280,5;25;66,1;0;0;;
1/01/2013 12:00;45;36,65;0,4;34;24,2;70,2;0;0;;
1/01/2013 13:00;24,5;30,17;0,1;284;23,5;73,2;0;0;;
1/01/2013 14:00;26;28,91;0,2;41,3;23,1;74,6;0;0;;
1/01/2013 15:00;14,7;21,23;0,4;291,7;22,2;79,6;0;0;;
1/01/2013 16:00;27,3;23,09;0,3;261,8;22,3;78,4;0;0;;
1/01/2013 17:00;29;21,53;0,3;237,3;22,4;78,6;0;0;;
1/01/2013 18:00;30,6;19,73;0,3;153,2;22,1;79,4;0;0;;
1/01/2013 19:00;16,6;21,49;0,4;284,9;21,6;81,6;14,4;0;;
1/01/2013 20:00;30;32,41;0,4;120,8;23,2;75;136,4;0;;
1/01/2013 21:00;34;58,23;0,9;133,6;24,7;68,7;297,9;0;;
1/01/2013 22:00;37,3;36,48;0,8;131,9;26,4;61,5;539,6;0;;
1/01/2013 23:00;21;19,36;1,7;125,5;27,9;56,3;619,9;0;;
2/01/2013 0:00;23,6;15,67;0,5;63,9;28,9;53,5;652,7;0;;
2/01/2013 1:00;13,6;16,96;0,7;84,7;29,9;50,9;525;0;;
2/01/2013 2:00;31,7;12,50;0,9;64,3;31,2;47;644,1;0;;
2/01/2013 3:00;17,4;11,62;0,8;303,6;31,5;45;473,5;0;;
2/01/2013 4:00;9,4;10,43;1,6;308,3;30,9;46,5;236,5;0;;
2/01/2013 5:00;5,2;10,61;2,5;261,8;31;46,3;214,2;0;;
1/01/2013 2:00;12,6;17,92;1,7;255,2;30;48,6;56,5;0;;
1/01/2013 3:00;27;23,24;0,1;125,5;28,6;52,2;0,7;0;;
1/01/2013 4:00;49,3;57,34;0,5;85,2;27,9;55,2;0;0;;
1/01/2013 5:00;42,2;63,73;0,7;113,1;27,1;58,9;0;0;;
1/01/2013 6:00;57,7;49,62;0,7;176,9;26;63,5;0;0;;
